date,mean_precipitation,temperature_2m_max,surface_net_solar_radiation_sum,cumulative_precipitation
2023-01-01,0.0538110732009045,20.294839477539085,9496170.0,0.0
2023-01-02,12.547391652958595,20.177575683593773,1924448.0,0.0
2023-01-03,44.33186621218965,22.272149658203148,4837162.0,0.0
2023-01-04,0.01045294209234271,18.886102294921898,10178258.0,0.0
2023-01-05,0.0017106532936850272,11.93482360839846,10434356.0,0.0
2023-01-06,0.08473694310850988,12.276940917968773,9606808.0,0.0
2023-01-07,3.4263888583154767,14.825067138671898,1370124.0,0.0
2023-01-08,0.47309696674346924,13.38855895996096,8212814.0,0.0
2023-01-09,0.0013053416410002683,12.348107910156273,9952994.0,0.0
2023-01-10,0.0004351138045421976,16.271020507812523,10138914.0,0.0
2023-01-11,0.13403594493865967,21.193093872070335,7186318.0,0.0
2023-01-12,7.45178759098053,18.48395690917971,4374348.0,0.0
2023-01-13,0.02287924286292764,6.834695434570335,6122014.0,0.0
2023-01-14,0.0,6.59253845214846,11070772.0,0.0
2023-01-15,0.0013049809126641776,12.833154296875023,10935148.0,0.0
2023-01-16,0.395306054087996,15.820214843750023,1254058.0,0.0
2023-01-17,2.1938413380553357,19.91523132324221,7236642.0,0.0
2023-01-18,6.015533208842072,20.12201843261721,3576778.0,0.0
2023-01-19,10.624256730011439,18.463342285156273,11321822.0,0.0
2023-01-20,0.001722275101201376,9.30964050292971,11339264.0,0.0
2023-01-21,0.0004351138045421976,10.057733154296898,9042090.0,0.0
2023-01-22,4.9646347761154175,9.344216918945335,6417468.0,0.0
2023-01-23,1.4311045408135215,7.903863525390648,8869604.0,0.0
2023-01-24,1.9238024949004284,9.532891845703148,6316540.0,0.0
2023-01-25,14.12777900685569,6.675469970703148,4764452.0,0.0
2023-01-26,0.24502407967474937,5.946923828125023,8527396.0,0.0
2023-01-27,0.006011128334648674,13.17792663574221,12173200.0,0.0
2023-01-28,0.7007122039226488,10.444619750976585,3499416.0,0.0
2023-01-29,13.891686620183918,14.19068298339846,2608320.0,0.0
2023-01-30,3.5382359691880083,12.190881347656273,2286788.0,0.0
2023-01-31,15.71990256729805,1.4237304687500227,1895996.0,0.0
2023-02-01,3.9484768326474295,0.40482482910158524,5252450.0,0.0
2023-02-02,6.5367341041451255,2.3574768066406477,3906678.0,0.0
2023-02-03,0.0007748603820800781,3.4164215087890852,12974000.0,0.0
2023-02-04,0.0,8.333703613281273,9590378.0,0.0
2023-02-05,0.001267870288756967,15.359185791015648,12807768.0,0.0
2023-02-06,0.0004351138045421976,18.356301879882835,12270520.0,0.0
2023-02-07,0.0064641237145224295,19.811929321289085,10661604.0,0.0
2023-02-08,5.103060603136811,19.406274414062523,3018238.0,0.0
2023-02-09,15.538096427803794,18.694802856445335,13591540.0,0.0
2023-02-10,0.0013887881209484476,11.994104003906273,9969118.0,0.0
2023-02-11,0.11337354419538315,9.609048461914085,11522072.0,0.0
2023-02-12,0.0,12.823892211914085,14461486.0,0.0
